Date,Total Incidents,,
12/20/2016,171,,43
12/21/2016,164,,44
12/22/2016,141,,39
12/23/2016,167,,55
12/24/2016,156,,54
12/25/2016,154,,46
12/26/2016,174,,48
12/27/2016,177,,37
12/28/2016,191,,48
12/29/2016,204,,37
12/30/2016,155,,50
12/31/2016,209,,60
